snapshot_utc,snapshot_server,label,section,key,value,unit,notes
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_3.00pct_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_3.00pct_gross_loss,0.5600,USD,OrderCalcProfit; excludes commission, swap, and added slippage stress.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_3.00pct_pct_reference_equity,0.0560,percent,Mechanical feasibility only; not a strategy test.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_5.00pct_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_5.00pct_gross_loss,0.9300,USD,OrderCalcProfit; excludes commission, swap, and added slippage stress.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_5.00pct_pct_reference_equity,0.0930,percent,Mechanical feasibility only; not a strategy test.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_10.00pct_ok,1,bool,
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_10.00pct_gross_loss,1.8700,USD,OrderCalcProfit; excludes commission, swap, and added slippage stress.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,buy_minlot_0.01000000_distance_10.00pct_pct_reference_equity,0.1870,percent,Mechanical feasibility only; not a strategy test.
2026.08.02 09:46:10,2026.08.02 12:46:10,STAGE14_FRESH_NORMAL,stop_risk_matrix,sell_minlot_0.01000000_distance_0.10pct_ok,1,bool,
